date,open,high,low,close,volume
2023-06-20,133.19,133.55,131.72,133.11,8428600
2023-06-21,133.46,134.51,132.33,132.92,9926500
2023-06-22,132.91,133.18,129.77,130.36,10075200
2023-06-23,129.39,129.99,128.53,129.68,9919500
2023-06-26,129.70,130.76,128.59,129.99,8429700
2023-06-27,129.82,130.60,129.39,130.00,8154000
2023-06-28,129.97,130.01,128.85,129.43,7558600
2023-06-29,130.82,134.08,130.61,133.95,15423200
2023-06-30,135.05,136.35,134.17,135.83,14212800
2023-07-03,136.53,137.74,136.35,136.92,8021600
2023-07-05,136.29,136.76,135.75,136.01,8934900
2023-07-06,134.49,134.84,133.00,134.67,9709500
2023-07-07,135.33,137.14,134.47,135.73,8981500
2023-07-10,135.88,137.28,135.88,136.49,9100100
2023-07-11,137.61,139.00,137.02,138.63,11260900
2023-07-12,138.65,140.93,138.23,139.31,11323200
2023-07-13,139.83,140.46,138.94,139.99,11234900
2023-07-14,142.51,143.77,139.56,140.84,27028400
2023-07-17,141.38,144.58,141.38,144.23,17262400
2023-07-18,144.23,145.19,143.70,144.49,13491700
2023-07-19,143.64,145.95,143.14,145.05,12510000
2023-07-20,145.31,147.25,145.20,146.84,9935900
2023-07-21,146.51,146.83,145.46,145.71,10636400
2023-07-24,145.73,149.32,145.50,148.58,14381400
2023-07-25,147.92,148.31,146.66,147.47,9944700
2023-07-26,147.36,148.81,146.96,148.35,8728600
2023-07-27,148.36,149.31,146.27,146.71,10778400
2023-07-28,147.90,148.20,147.11,147.55,9103800
2023-07-31,147.80,149.87,147.78,148.54,8892700
2023-08-01,148.04,148.58,146.84,147.80,6853900
2023-08-02,146.28,146.40,144.76,146.13,8299400
2023-08-03,145.75,147.56,145.14,147.02,6084000
2023-08-04,147.07,148.39,146.41,146.71,6209400
2023-08-07,147.26,148.29,147.26,147.41,7251800
2023-08-08,145.11,146.68,143.49,146.58,8623400
2023-08-09,146.06,146.24,144.32,144.62,6277800
2023-08-10,145.17,146.17,143.96,144.40,5995100
2023-08-11,143.90,145.30,143.53,145.24,5180700
2023-08-14,144.45,145.68,143.80,145.54,5044300
2023-08-15,143.73,144.13,141.27,141.83,10300300
2023-08-16,141.62,141.96,140.75,141.23,6978200
